QC file for A7b450775c2a8 has been detected, skip this sample
QC file for Ac3c6307d0f71 has been detected, skip this sample
QC file for A971f86cfa6cb has been detected, skip this sample
QC file for Aed3ef7704764 has been detected, skip this sample
QC file for Af664d2ad988e has been detected, skip this sample
QC file for A73b4f30a46fe has been detected, skip this sample
QC file for Ada93a4977124 has been detected, skip this sample
QC file for Ae08fb1a2f4d2 has been detected, skip this sample
QC file for A1ca597da824d has been detected, skip this sample
QC file for Af0810ddb2dee has been detected, skip this sample
QC file for Ac90d285772e2 has been detected, skip this sample
QC file for Acdf5d6ea0270 has been detected, skip this sample
QC file for A658b054f4be0 has been detected, skip this sample
QC file for A6d671ebbc1b5 has been detected, skip this sample
QC file for A3f76e3df9b35 has been detected, skip this sample
QC file for A8d472a6ca28a has been detected, skip this sample
QC file for A82ac0e6565a8 has been detected, skip this sample
QC file for A8ab6d7cd56ba has been detected, skip this sample
QC file for A7365f38eb8be has been detected, skip this sample
QC file for A1bfc0129dfe0 has been detected, skip this sample
QC file for A7085078a2e2c has been detected, skip this sample
QC file for A317f8e9b03d0 has been detected, skip this sample
QC file for A32f48225e0b6 has been detected, skip this sample
QC file for A06de21ee3e7d has been detected, skip this sample
QC file for Ac10877745f57 has been detected, skip this sample
QC file for A1f75b1071fca has been detected, skip this sample
QC file for A8dc295bc7df6 has been detected, skip this sample
QC file for Adf2755ad0e00 has been detected, skip this sample
QC file for Abf6cb3ca367f has been detected, skip this sample
QC file for Acb05dd6117ce has been detected, skip this sample
QC file for Af8c42da515a4 has been detected, skip this sample
QC file for A98478305b42c has been detected, skip this sample
QC file for A2d13d739f816 has been detected, skip this sample
QC file for Aec3481dcd3c1 has been detected, skip this sample
QC file for A292bb27740be has been detected, skip this sample
QC file for A5e5fb3478990 has been detected, skip this sample
QC file for A036f30dd629e has been detected, skip this sample
QC file for Ac3d89118c71a has been detected, skip this sample
QC file for A9edb9bd36584 has been detected, skip this sample
QC file for A25be97f12459 has been detected, skip this sample
QC file for Acafb2d5fa613 has been detected, skip this sample
QC file for A0bb57dc4fd08 has been detected, skip this sample
QC file for Afa9e7e88a498 has been detected, skip this sample
QC file for Aee217f7f907d has been detected, skip this sample
QC file for A42b612751016 has been detected, skip this sample
QC file for Aad80633986d4 has been detected, skip this sample
QC file for Ad9bd39af82df has been detected, skip this sample
QC file for A1c82b81e7052 has been detected, skip this sample
QC file for A389bfd9ae3f2 has been detected, skip this sample
QC file for A641cd4664575 has been detected, skip this sample
QC file for A735f293ed65a has been detected, skip this sample
QC file for A8ea79fbd1780 has been detected, skip this sample
QC file for Ae0f63277b536 has been detected, skip this sample
QC file for A95ef31e6ecc6 has been detected, skip this sample
QC file for A4c18714302c5 has been detected, skip this sample
QC file for A176332765b13 has been detected, skip this sample
QC file for Abe82ae2171e3 has been detected, skip this sample
QC file for A032efca626b9 has been detected, skip this sample
QC file for Ad4a8c4b320fe has been detected, skip this sample
QC file for A4f5dc34f981b has been detected, skip this sample
QC file for A05d1229f1647 has been detected, skip this sample
QC file for Ae9fd67c65458 has been detected, skip this sample
QC file for A987adb3342e6 has been detected, skip this sample
QC file for A165e4872a685 has been detected, skip this sample
QC file for Aadd4ade67c0f has been detected, skip this sample
QC file for Ad5c437a4687a has been detected, skip this sample
QC file for A977d1eb93526 has been detected, skip this sample
QC file for Af42054c32be4 has been detected, skip this sample
QC file for Af2323830b587 has been detected, skip this sample
QC file for A22eb88984cab has been detected, skip this sample
QC file for Ac04bf2eb5efd has been detected, skip this sample
QC file for A63e7d42df310 has been detected, skip this sample
QC file for Ab21b4f690201 has been detected, skip this sample
QC file for Ad50b06622af9 has been detected, skip this sample
QC file for A409605df7033 has been detected, skip this sample
QC file for A3c46f833901d has been detected, skip this sample
QC file for A2fce749601ba has been detected, skip this sample
QC file for A949977df623d has been detected, skip this sample
QC file for A757f43ce95dc has been detected, skip this sample
QC file for Ae606dabaa452 has been detected, skip this sample
QC file for A5c53b183f2eb has been detected, skip this sample
QC file for Adeff3b60aa58 has been detected, skip this sample
QC file for Ac53762c4536f has been detected, skip this sample
QC file for Aa5da1a3311af has been detected, skip this sample
QC file for A165257b146ac has been detected, skip this sample
QC file for A256b34b67aa0 has been detected, skip this sample
QC file for Ad58ea4d73353 has been detected, skip this sample
QC file for A2fe89e219581 has been detected, skip this sample
QC file for Afbeb70181082 has been detected, skip this sample
QC file for A9b6034bb2971 has been detected, skip this sample
QC file for A9f8da87ab1bc has been detected, skip this sample
QC file for Ad637a936a89a has been detected, skip this sample
QC file for Af6486d73fe71 has been detected, skip this sample
QC file for A67107c407545 has been detected, skip this sample
QC file for Ae27875ee1b4e has been detected, skip this sample
QC file for Ab82557268b40 has been detected, skip this sample
QC file for Aff7dbee9d93c has been detected, skip this sample
QC file for A56b2e3cadeba has been detected, skip this sample
QC file for Ae9c1f34dc359 has been detected, skip this sample
QC file for A8a729fb4b30c has been detected, skip this sample
QC file for A462ec54c7b19 has been detected, skip this sample
QC file for Abcafabce83d8 has been detected, skip this sample
QC file for A5623472ec706 has been detected, skip this sample
QC file for A2c31eeaf75c1 has been detected, skip this sample
QC file for Aebec32a9a305 has been detected, skip this sample
QC file for A0ee0854ef752 has been detected, skip this sample
QC file for Aa744fc65bd20 has been detected, skip this sample
QC file for Af2e3c88c48ee has been detected, skip this sample
QC file for A8b8ec2d2c9d3 has been detected, skip this sample
QC file for A4590bd40c3d7 has been detected, skip this sample
QC file for A6ac778806bf4 has been detected, skip this sample
QC file for A845ad42c128a has been detected, skip this sample
QC file for Ab900bf430b2f has been detected, skip this sample
QC file for A79cb8074b404 has been detected, skip this sample
QC file for Adf59ac554a8a has been detected, skip this sample
QC file for A600276ee4e45 has been detected, skip this sample
QC file for A7397bd993661 has been detected, skip this sample
QC file for A8ff3093ea1ad has been detected, skip this sample
QC file for A57095d9a17f6 has been detected, skip this sample
QC file for Aaef13c77cba9 has been detected, skip this sample
QC file for A234d5b6e6894 has been detected, skip this sample
QC file for A3bb321f72141 has been detected, skip this sample
QC file for A5f026b0e6145 has been detected, skip this sample
QC file for Aa01d85db0616 has been detected, skip this sample
QC file for A3cf3f0809f64 has been detected, skip this sample
QC file for Afabbfaa7c86f has been detected, skip this sample
QC file for A257f8e6132f5 has been detected, skip this sample
QC file for Ab5b92e60d461 has been detected, skip this sample
QC file for Afd325b1a9b02 has been detected, skip this sample
QC file for Ad27922b7d95b has been detected, skip this sample
QC file for Af2c912466d08 has been detected, skip this sample
QC file for Af26d761a9f88 has been detected, skip this sample
QC file for A281e07e0b8bb has been detected, skip this sample
QC file for Acda7e2d18159 has been detected, skip this sample
QC file for A13f86c5b029d has been detected, skip this sample
QC file for A696f1b3174a3 has been detected, skip this sample
QC file for Adab0467d6f0a has been detected, skip this sample
QC file for A1d27c3869c9d has been detected, skip this sample
QC file for A9b3dcdf108ca has been detected, skip this sample
QC file for Ac38556abe001 has been detected, skip this sample
QC file for A6e14628ea7a7 has been detected, skip this sample
QC file for Af1c738b5caa0 has been detected, skip this sample
QC file for A8eb940b86a93 has been detected, skip this sample
QC file for A6078afb17e6b has been detected, skip this sample
QC file for A72237280b9a1 has been detected, skip this sample
QC file for A13e514347ac1 has been detected, skip this sample
QC file for A6ed8a156be4d has been detected, skip this sample
QC file for A49e4d0355239 has been detected, skip this sample
QC file for A731edc30b3e2 has been detected, skip this sample
QC file for A8405c0868fe3 has been detected, skip this sample
QC file for Aa122a73755bd has been detected, skip this sample
QC file for A4f13c1b06f5a has been detected, skip this sample
QC file for Af5c44ef6c506 has been detected, skip this sample
QC file for Aacd34cdaaf35 has been detected, skip this sample
QC file for Add1746030457 has been detected, skip this sample
QC file for Aba3420c44a8d has been detected, skip this sample
QC file for A7e8ece891196 has been detected, skip this sample
QC file for Aedb8a3827a09 has been detected, skip this sample
QC file for Ac6fada2df657 has been detected, skip this sample
QC file for A3f4b4786e090 has been detected, skip this sample
QC file for A2ad5159faad4 has been detected, skip this sample
QC file for Aefa39bce7798 has been detected, skip this sample
QC file for A894e6bc4a49b has been detected, skip this sample
QC file for A6f4e54bfbf84 has been detected, skip this sample
QC file for Aeeaa32d7492e has been detected, skip this sample
QC file for A03eb29344373 has been detected, skip this sample
QC file for A38f61c66bef0 has been detected, skip this sample
QC file for A527265242e22 has been detected, skip this sample
QC file for Afb6717b8554d has been detected, skip this sample
QC file for Afe475fc857d5 has been detected, skip this sample
QC file for A9920f82d2b61 has been detected, skip this sample
QC file for Ac8da7db45bd7 has been detected, skip this sample
QC file for A4eeeb4372c56 has been detected, skip this sample
QC file for A021391b76359 has been detected, skip this sample
QC file for A6a0b3cb69143 has been detected, skip this sample
QC file for A068346175963 has been detected, skip this sample
QC file for A0fd99c408cad has been detected, skip this sample
QC file for A6f5e78cc9dd8 has been detected, skip this sample
QC file for A493e46ae8f51 has been detected, skip this sample
QC file for Adf078da731e7 has been detected, skip this sample
QC file for A47da87ac33c9 has been detected, skip this sample
QC file for A7fa2403f4984 has been detected, skip this sample
QC file for A379f64e113c9 has been detected, skip this sample
QC file for Abca3f965991e has been detected, skip this sample
QC file for A5ebcf6421dc4 has been detected, skip this sample
QC file for Af3bf99a76ab5 has been detected, skip this sample
QC file for Ae8b608e3e0bc has been detected, skip this sample
QC file for Abab844b07727 has been detected, skip this sample
QC file for A69bb7acb801b has been detected, skip this sample
QC file for A66634d32422a has been detected, skip this sample
QC file for Ac46f6e893dfb has been detected, skip this sample
QC file for A8b0534fc1abf has been detected, skip this sample
QC file for Af3b4b41599b4 has been detected, skip this sample
QC file for Acb5a260bac79 has been detected, skip this sample
QC file for A45786f170fb4 has been detected, skip this sample
QC file for A0c50c05996ec has been detected, skip this sample
WARNING: fastp uses up to 16 threads although you specified 20
Read1 before filtering:
total reads: 49808142
total bases: 2540215242
Q20 bases: 2480961369(97.6674%)
Q30 bases: 2409500390(94.8542%)

Read2 before filtering:
total reads: 49808142
total bases: 2540215242
Q20 bases: 2450659704(96.4745%)
Q30 bases: 2363389861(93.039%)

Read1 after filtering:
total reads: 49711477
total bases: 2533004410
Q20 bases: 2474162140(97.677%)
Q30 bases: 2403067169(94.8702%)

Read2 after filtering:
total reads: 49711477
total bases: 2533004410
Q20 bases: 2447179246(96.6117%)
Q30 bases: 2360464890(93.1883%)

Filtering result:
reads passed filter: 99422954
reads failed due to low quality: 153694
reads failed due to too many N: 39636
reads failed due to too short: 0
reads with adapter trimmed: 434630
bases trimmed due to adapters: 4566634

Duplication rate: 58.0526%

Insert size peak (evaluated by paired-end reads): 71

JSON report: /home/data/IO_RNA/EGA_IMvigor010/fq/A7640a334aa81_fastp.json
HTML report: /home/data/IO_RNA/EGA_IMvigor010/fq/A7640a334aa81_fastp.html

/home/circrna/miniconda3/bin/fastp -i /home/data/EGA/IMvigor010/raw/A7640a334aa81_1.fastq.gz -I /home/data/EGA/IMvigor010/raw/A7640a334aa81_2.fastq.gz -o /home/data/IO_RNA/EGA_IMvigor010/fq/A7640a334aa81_1.fastq.gz -O /home/data/IO_RNA/EGA_IMvigor010/fq/A7640a334aa81_2.fastq.gz -j /home/data/IO_RNA/EGA_IMvigor010/fq/A7640a334aa81_fastp.json -h /home/data/IO_RNA/EGA_IMvigor010/fq/A7640a334aa81_fastp.html -w 20 
fastp v0.23.4, time used: 165 seconds
QC file for Ad418e399c9be has been detected, skip this sample
QC file for Af4e02df969eb has been detected, skip this sample
QC file for A132b9b06c461 has been detected, skip this sample
QC file for A0e0c2ae14a4e has been detected, skip this sample
QC file for A1013e8cfd3ac has been detected, skip this sample
QC file for A5c3a36838179 has been detected, skip this sample
QC file for Af9f790fc232c has been detected, skip this sample
QC file for Aebbc5c3d8c0e has been detected, skip this sample
QC file for A4f35a5e1f470 has been detected, skip this sample
QC file for Acfc134d57402 has been detected, skip this sample
QC file for Af019301dd3c4 has been detected, skip this sample
QC file for A1ae3f4422ea1 has been detected, skip this sample
QC file for A449ef1d6130f has been detected, skip this sample
QC file for A66bb9d6bf279 has been detected, skip this sample
QC file for Ae832eac2cedc has been detected, skip this sample
QC file for Afcfa96cd7256 has been detected, skip this sample
QC file for A29cc42fe3ee5 has been detected, skip this sample
QC file for A5418d4c965bf has been detected, skip this sample
QC file for A7b9aeaf41922 has been detected, skip this sample
QC file for Ae05c06b0737b has been detected, skip this sample
QC file for A1220e9134acd has been detected, skip this sample
QC file for A574877fed946 has been detected, skip this sample
QC file for Afe6b15df4481 has been detected, skip this sample
QC file for A5c6fb5063e08 has been detected, skip this sample
QC file for A5f76b96f0b3d has been detected, skip this sample
QC file for Ae18ef875e0d3 has been detected, skip this sample
QC file for A45216ecc9e15 has been detected, skip this sample
QC file for A2daa10d5d6fd has been detected, skip this sample
QC file for A17846ef2b943 has been detected, skip this sample
QC file for A7791110844a3 has been detected, skip this sample
QC file for A0edc6789317f has been detected, skip this sample
QC file for A9e8f4293ec00 has been detected, skip this sample
QC file for Acb92f023afc7 has been detected, skip this sample
QC file for A36f26895003b has been detected, skip this sample
QC file for Af37964e0c304 has been detected, skip this sample
QC file for A35bab4d635e6 has been detected, skip this sample
QC file for Af0b96a38defe has been detected, skip this sample
QC file for A32d2f919d8e7 has been detected, skip this sample
QC file for Ab13f9110c384 has been detected, skip this sample
QC file for Abf8aa4709e86 has been detected, skip this sample
QC file for A9411aef1e013 has been detected, skip this sample
QC file for A2d3aeaed3b27 has been detected, skip this sample
QC file for A05e846b96e6e has been detected, skip this sample
QC file for Ae3a8dcdda869 has been detected, skip this sample
QC file for Ae42c5936d4a9 has been detected, skip this sample
QC file for Af27e8f19f91e has been detected, skip this sample
QC file for A69975e245c66 has been detected, skip this sample
QC file for Aa44f6b6ea0d7 has been detected, skip this sample
QC file for A617f7c6305cd has been detected, skip this sample
QC file for A0a5a473ae035 has been detected, skip this sample
QC file for A79d7fbb71998 has been detected, skip this sample
QC file for A217d10c745b1 has been detected, skip this sample
QC file for A6a56dddeea70 has been detected, skip this sample
QC file for A408c67d04733 has been detected, skip this sample
QC file for A1028607aca01 has been detected, skip this sample
QC file for A34ec2c8e43b9 has been detected, skip this sample
QC file for A0bda8258f861 has been detected, skip this sample
QC file for A405f3a681f05 has been detected, skip this sample
QC file for Aacb1b1e3a536 has been detected, skip this sample
QC file for A2a0891086146 has been detected, skip this sample
QC file for A4ac29605e5c2 has been detected, skip this sample
QC file for A894337363727 has been detected, skip this sample
QC file for A43b4a221b6b0 has been detected, skip this sample
QC file for A92c19cbfd4fd has been detected, skip this sample
QC file for A7607d91511f4 has been detected, skip this sample
QC file for A87870525065f has been detected, skip this sample
QC file for Ad30c373a4d8c has been detected, skip this sample
QC file for A9ac26fa32a1a has been detected, skip this sample
QC file for A8fc74d458a86 has been detected, skip this sample
QC file for A82a9f88fcf12 has been detected, skip this sample
QC file for A1b0c3f0a6c07 has been detected, skip this sample
QC file for Ae3d631c46d39 has been detected, skip this sample
QC file for A7f2005a1b6fc has been detected, skip this sample
QC file for A02f12d381d57 has been detected, skip this sample
QC file for Ae0179ab3bdae has been detected, skip this sample
QC file for Ad4a4c7bb2bd6 has been detected, skip this sample
QC file for Ae68adf0c8e1e has been detected, skip this sample
QC file for A5c7b3863e7dc has been detected, skip this sample
QC file for Ab805123487d5 has been detected, skip this sample
QC file for Abd7d11c504d4 has been detected, skip this sample
QC file for A08e27141475c has been detected, skip this sample
QC file for A259c0581363e has been detected, skip this sample
QC file for Aee1b75422b71 has been detected, skip this sample
QC file for A1646307e96c0 has been detected, skip this sample
QC file for A03344c0c6a97 has been detected, skip this sample
QC file for Aa811324c7604 has been detected, skip this sample
QC file for Aa89e84cbd40d has been detected, skip this sample
QC file for Ad1300291388b has been detected, skip this sample
QC file for A925d3185eff4 has been detected, skip this sample
QC file for A74ff6eaf6afa has been detected, skip this sample
QC file for Aae8dc24b7fb2 has been detected, skip this sample
QC file for A2198f550d746 has been detected, skip this sample
QC file for A28b706678a74 has been detected, skip this sample
QC file for A812378a585ae has been detected, skip this sample
QC file for A00685dee45ff has been detected, skip this sample
QC file for A3b2b8d226ef6 has been detected, skip this sample
QC file for A7fc82b78e10e has been detected, skip this sample
QC file for A9e0a4674796f has been detected, skip this sample
QC file for A8c5864fb8bac has been detected, skip this sample
QC file for A8ac336185e7f has been detected, skip this sample
QC file for Af8692ec42963 has been detected, skip this sample
QC file for A878fa8d893ea has been detected, skip this sample
QC file for A4d1a054784f3 has been detected, skip this sample
QC file for Aed23be5e858e has been detected, skip this sample
QC file for A4cec5952e197 has been detected, skip this sample
QC file for A469b664040ce has been detected, skip this sample
QC file for A73c77270e557 has been detected, skip this sample
QC file for A4be78a227124 has been detected, skip this sample
QC file for A0e4f5ff92ef0 has been detected, skip this sample
QC file for Add86970e9287 has been detected, skip this sample
QC file for A8b21699b3a60 has been detected, skip this sample
QC file for A01e87aa83351 has been detected, skip this sample
QC file for Aee2fb9bff8b5 has been detected, skip this sample
QC file for Afa508b7c5003 has been detected, skip this sample
QC file for A9a6830d03335 has been detected, skip this sample
QC file for A09d92885e797 has been detected, skip this sample
QC file for A9b25736eba63 has been detected, skip this sample
QC file for Acc498221bba4 has been detected, skip this sample
QC file for Ab6ec584cd473 has been detected, skip this sample
QC file for Aa2e3798d00e2 has been detected, skip this sample
QC file for Afff57a686d68 has been detected, skip this sample
QC file for Ac5f24459a1a1 has been detected, skip this sample
QC file for Ae591b466e79f has been detected, skip this sample
QC file for A7a83ae9721be has been detected, skip this sample
QC file for A22f27d582cd6 has been detected, skip this sample
QC file for A8658bcbe8f6f has been detected, skip this sample
QC file for A8730bcb2f568 has been detected, skip this sample
QC file for Afd370fa6fe0c has been detected, skip this sample
QC file for Ad0d56c2143cb has been detected, skip this sample
QC file for A5b54fec4bb09 has been detected, skip this sample
QC file for A6f4964f04541 has been detected, skip this sample
QC file for A19c4d6e526a7 has been detected, skip this sample
QC file for Aae94083ec52a has been detected, skip this sample
QC file for A4ecfb2e27d1e has been detected, skip this sample
QC file for Af9f9ed65f20d has been detected, skip this sample
QC file for A2244407410ee has been detected, skip this sample
QC file for A88e5f1c66fd5 has been detected, skip this sample
QC file for Aa1b24bfdd95b has been detected, skip this sample
QC file for A6a460433a6b0 has been detected, skip this sample
QC file for A99d779736376 has been detected, skip this sample
QC file for Adcf79f0ca86a has been detected, skip this sample
QC file for A519afb40379e has been detected, skip this sample
QC file for A2c32656525f1 has been detected, skip this sample
QC file for A06056fbba84f has been detected, skip this sample
QC file for A350e0d9091ca has been detected, skip this sample
QC file for A03f15d9f1ae1 has been detected, skip this sample
QC file for Adfc5d668f2b4 has been detected, skip this sample
QC file for A1de932765f57 has been detected, skip this sample
QC file for Ad6c238839cf0 has been detected, skip this sample
QC file for A14c82c815a03 has been detected, skip this sample
QC file for Afe110dd915f0 has been detected, skip this sample
QC file for Ac808b37edc9a has been detected, skip this sample
QC file for Ad025948b6b80 has been detected, skip this sample
QC file for A2c487b227025 has been detected, skip this sample
