Previous failed sample list file detected, remove it
QC file for SRR10900584 has been detected, skip this sample
QC file for SRR10900572 has been detected, skip this sample
QC file for SRR10900576 has been detected, skip this sample
QC file for SRR10900586 has been detected, skip this sample
QC file for SRR10900559 has been detected, skip this sample
QC file for SRR10900583 has been detected, skip this sample
QC file for SRR10900557 has been detected, skip this sample
QC file for SRR10900558 has been detected, skip this sample
QC file for SRR10900574 has been detected, skip this sample
QC file for SRR10900548 has been detected, skip this sample
QC file for SRR10900555 has been detected, skip this sample
QC file for SRR10900551 has been detected, skip this sample
QC file for SRR10900547 has been detected, skip this sample
QC file for SRR10900021 has been detected, skip this sample
QC file for SRR10899986 has been detected, skip this sample
QC file for SRR10899995 has been detected, skip this sample
QC file for SRR10900575 has been detected, skip this sample
QC file for SRR10899955 has been detected, skip this sample
QC file for SRR10899975 has been detected, skip this sample
QC file for SRR10899976 has been detected, skip this sample
QC file for SRR10899978 has been detected, skip this sample
QC file for SRR10899980 has been detected, skip this sample
QC file for SRR10899981 has been detected, skip this sample
QC file for SRR10900019 has been detected, skip this sample
QC file for SRR10900018 has been detected, skip this sample
QC file for SRR10900016 has been detected, skip this sample
QC file for SRR10900015 has been detected, skip this sample
QC file for SRR10900014 has been detected, skip this sample
QC file for SRR10900013 has been detected, skip this sample
QC file for SRR10900012 has been detected, skip this sample
QC file for SRR10900011 has been detected, skip this sample
QC file for SRR10900010 has been detected, skip this sample
QC file for SRR10899997 has been detected, skip this sample
QC file for SRR10900009 has been detected, skip this sample
QC file for SRR10900006 has been detected, skip this sample
QC file for SRR10900003 has been detected, skip this sample
QC file for SRR10899998 has been detected, skip this sample
QC file for SRR10900002 has been detected, skip this sample
QC file for SRR10900001 has been detected, skip this sample
QC file for SRR10899992 has been detected, skip this sample
QC file for SRR10900000 has been detected, skip this sample
QC file for SRR10899994 has been detected, skip this sample
QC file for SRR10899996 has been detected, skip this sample
QC file for SRR10899991 has been detected, skip this sample
QC file for SRR10899988 has been detected, skip this sample
QC file for SRR10899984 has been detected, skip this sample
QC file for SRR10899982 has been detected, skip this sample
QC file for SRR10899979 has been detected, skip this sample
QC file for SRR10842378 has been detected, skip this sample
QC file for SRR10842377 has been detected, skip this sample
QC file for SRR10842376 has been detected, skip this sample
QC file for SRR10842375 has been detected, skip this sample
QC file for SRR10842373 has been detected, skip this sample
QC file for SRR10842371 has been detected, skip this sample
QC file for SRR10842369 has been detected, skip this sample
QC file for SRR10842368 has been detected, skip this sample
QC file for SRR10842366 has been detected, skip this sample
QC file for SRR10842365 has been detected, skip this sample
QC file for SRR10842364 has been detected, skip this sample
QC file for SRR10842363 has been detected, skip this sample
QC file for SRR10842360 has been detected, skip this sample
QC file for SRR10842358 has been detected, skip this sample
QC file for SRR10842356 has been detected, skip this sample
QC file for SRR10842352 has been detected, skip this sample
QC file for SRR10842349 has been detected, skip this sample
QC file for SRR10842347 has been detected, skip this sample
QC file for SRR10842068 has been detected, skip this sample
QC file for SRR10841996 has been detected, skip this sample
QC file for SRR10841921 has been detected, skip this sample
WARNING: fastp uses up to 16 threads although you specified 20
Read1 before filtering:
total reads: 31832416
total bases: 2419263616
Q20 bases: 2374163614(98.1358%)
Q30 bases: 2342738521(96.8368%)

Read2 before filtering:
total reads: 31832416
total bases: 2419263616
Q20 bases: 2358535801(97.4898%)
Q30 bases: 2322165789(95.9865%)

Read1 after filtering:
total reads: 31131916
total bases: 2363221430
Q20 bases: 2342402338(99.119%)
Q30 bases: 2316970855(98.0429%)

Read2 after filtering:
total reads: 31131916
total bases: 2363221430
Q20 bases: 2334848571(98.7994%)
Q30 bases: 2303573067(97.476%)

Filtering result:
reads passed filter: 62263832
reads failed due to low quality: 1372302
reads failed due to too many N: 28698
reads failed due to too short: 0
reads with adapter trimmed: 525160
bases trimmed due to adapters: 5815044

Duplication rate: 64.4118%

Insert size peak (evaluated by paired-end reads): 121

JSON report: /home/zhou/raid/IO_RNA/PHS000452/fq/SRR10899989_fastp.json
HTML report: /home/zhou/raid/IO_RNA/PHS000452/fq/SRR10899989_fastp.html

/home/circrna/miniconda3/bin/fastp -i /home/zhou/raid/ncbi/dbGaP-24835/RNA_phs000452_PRJNA82747/raw/SRR10899989_1.fastq.gz -I /home/zhou/raid/ncbi/dbGaP-24835/RNA_phs000452_PRJNA82747/raw/SRR10899989_2.fastq.gz -o /home/zhou/raid/IO_RNA/PHS000452/fq/SRR10899989_1.fastq.gz -O /home/zhou/raid/IO_RNA/PHS000452/fq/SRR10899989_2.fastq.gz -j /home/zhou/raid/IO_RNA/PHS000452/fq/SRR10899989_fastp.json -h /home/zhou/raid/IO_RNA/PHS000452/fq/SRR10899989_fastp.html -w 20 
fastp v0.23.4, time used: 58 seconds

  /// MultiQC 🔍 | v1.14

|           multiqc | MultiQC Version v1.16 now available!
|           multiqc | Search path : /home/zhou/raid/IO_RNA/PHS000452/fq
|         searching | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 678/678  
|             fastp | Found 164 reports
|           multiqc | Compressing plot data
|           multiqc | Previous MultiQC output found! Adjusting filenames..
|           multiqc | Use -f or --force to overwrite existing reports instead
|           multiqc | Report      : ../../../../zhou/raid/IO_RNA/PHS000452/fq/multiqc_report_2.html
|           multiqc | Data        : ../../../../zhou/raid/IO_RNA/PHS000452/fq/multiqc_data_2
|           multiqc | MultiQC complete
|           multiqc | 5 flat-image plots used in the report due to large sample numbers
|           multiqc | To force interactive plots, use the '--interactive' flag. 
See the documentation.
